target,hedge,target_name,hedge_name,n,corr,r2,beta,beta_hac_se,alpha,alpha_hac_se,resid_sd,dw,h_from_beta,h_from_pnl,h_gap_%,eff_train,eff_test
CL=F,SI=F,WTI crude,Silver,2256,0.1683567805475001,0.028344005556319107,0.30099609436125374,0.06386605178902863,0.0005565994875505498,0.0006074357379965193,0.03146809240281081,2.0824406276983765,0.18082731766095822,0.14937014416198133,21.059880256166736,0.029435768566304144,-0.7290835424585116
SI=F,CL=F,Silver,WTI crude,2256,0.1683567805475001,0.028344005556318996,0.09416735328897925,0.01822435439565185,0.0002822373668849495,0.00037331457093252063,0.01760111451994459,2.0579920932934046,0.15674625893341318,0.19706594468023747,-20.459996683976875,0.029435768566304032,-0.0075987593756448035
HO=F,ZC=F,NY Harbor ULSD,Corn,2256,0.16519582069471986,0.027289659175002146,0.25430874886325855,0.04204038847998315,0.0004307675022331917,0.0005328106072037922,0.025119714705090973,1.9717066455441785,1.1573296198473924,0.928981398006654,24.580494542809213,0.023619717526008555,0.008996426764039334
ZC=F,HO=F,Corn,NY Harbor ULSD,2256,0.16519582069471986,0.027289659175002146,0.10730916375069605,0.013809604431876411,0.0001639438102446156,0.0003367493713997622,0.016317456260838286,2.0057462944898212,0.023579850292434847,0.025425393421967594,-7.2586610515855154,0.023619717526008888,-0.0405317001632981
HG=F,KC=F,Copper,Coffee C,2256,0.16435652093250228,0.0270130659730361,0.1104687358740718,0.01462783163883691,0.0002041114747303061,0.00027945383825653903,0.013728352753932109,2.046548138309362,0.1517698464332312,0.17737121366311015,-14.43377800780283,0.03287267529998916,0.018659695105100904
KC=F,HG=F,Coffee C,Copper,2256,0.16435652093250228,0.027013065973035877,0.24453132154811136,0.033007554673591,0.0002253031379747152,0.0004279618425283087,0.020425184364764735,1.9856216367190362,0.1779870416151473,0.18533264006653283,-3.963467227763288,0.032872675299989385,0.022175061252345696
PL=F,KC=F,Platinum,Coffee C,2256,0.16431142863832238,0.02699824558116659,0.13627492822786794,0.0177022127442532,2.4854836615291194e-05,0.00036331765942006965,0.016940159031000712,1.9968475480814158,0.09601242796188955,0.11630621198087951,-17.44858135550508,0.028711884926171605,-0.003923850668801299
KC=F,PL=F,Coffee C,Platinum,2256,0.16431142863832238,0.02699824558116637,0.19811601394514924,0.02665214190157434,0.000270294837506757,0.00042886497550988483,0.020425339920853415,2.009674687538376,0.28119532183774143,0.2468645864839276,13.906707253066848,0.028711884926171827,-0.01872748579385175
BZ=F,SI=F,Brent crude,Silver,2256,0.15923171939853212,0.02535474046261288,0.2355070400871456,0.04629851129450552,0.00041234991267516613,0.0005470844848711128,0.02607242929462295,2.0335247063599455,0.15212729716562595,0.13817323481280985,10.098961909461236,0.024745446456026943,-0.6032410634816252
SI=F,BZ=F,Silver,Brent crude,2256,0.15923171939853212,0.025354740462612768,0.10766022303719988,0.019248240676140685,0.0002912867253879226,0.000372990873960189,0.017628168329673934,2.0632651895643175,0.16666792176691558,0.17909001326885823,-6.936227919808141,0.024745446456027165,-0.007074532047564253
BZ=F,KC=F,Brent crude,Coffee C,2256,0.1557746566722117,0.024265743661345485,0.198674684736979,0.030998143251388794,0.0004372653336005964,0.0005562028731362867,0.026086990933973035,2.01471269706798,0.2167590390648672,0.2237848456211085,-3.1395363420348557,0.026141755298220604,-0.10329314586153027
KC=F,BZ=F,Coffee C,Brent crude,2256,0.1557746566722117,0.024265743661345263,0.122138075585575,0.017273965300895967,0.00022258513572199844,0.00043061556028973856,0.0204540002755287,1.9909313161977091,0.11194801271509455,0.11681646818248634,-4.167610563081282,0.026141755298220937,-0.012607721770293345
HO=F,SI=F,NY Harbor ULSD,Silver,2256,0.15492378160350592,0.02400137810633074,0.22098211408261834,0.042727976592876075,0.000409605747218587,0.0005334355952957163,0.025162137915773253,1.9843300041318763,0.19868324039273558,0.18492669783466137,7.438916456710654,0.017126434304558846,-0.5217551760341577
SI=F,HO=F,Silver,NY Harbor ULSD,2256,0.15492378160350592,0.02400137810633085,0.1086123110278392,0.019553454368678138,0.0002916582976060908,0.00037476564386503924,0.01764040304946639,2.055280203497595,0.12080222800316452,0.09261201603173205,30.439043635302717,0.017126434304558846,-0.010223631860622806
HO=F,KC=F,NY Harbor ULSD,Coffee C,2256,0.15379018519320212,0.023651421061759437,0.189164255265075,0.03188886727536212,0.0004322086742020433,0.0005393561008788891,0.025166648617949122,1.9749738295307762,0.2872596418902268,0.30250783106333334,-5.0405932036563295,0.018457246905058122,-0.08135660330377581
KC=F,HO=F,Coffee C,NY Harbor ULSD,2256,0.15379018519320212,0.023651421061759326,0.12503113248650888,0.018462259342596647,0.00022212610665944143,0.0004293114987289598,0.020460438184915466,1.9924021648218513,0.08233464647566996,0.06101411272620565,34.94361025151335,0.018457246905058233,-0.011473717372021408
RB=F,ZS=F,RBOB gasoline,Soybeans,2256,0.15264134831581516,0.0232993812156701,0.34922390170441864,0.05710927682992612,0.0005575317056398602,0.0006144018294056897,0.029536875493327987,2.0608164737618986,0.47684089389655204,0.5921196229991951,-19.468824309306793,0.047404848243626896,0.017096032058614097
ZS=F,RB=F,Soybeans,RBOB gasoline,2256,0.15264134831581516,0.02329938121566988,0.06671760180776654,0.014184089829692036,0.00015676158441877157,0.0002627650292944808,0.012910194515133606,2.0005049456614286,0.048861961115114996,0.08005957985907054,-38.96800207904281,0.04740484824362712,-0.022399724171939583
KC=F,ZC=F,Coffee C,Corn,2256,0.15210037687896485,0.023134524646723054,0.1903627984306689,0.02657920480407249,0.0002417247568788188,0.00043125371559553534,0.020465853529381104,1.9891281903697509,0.5704824752058797,0.3663560377085199,55.7180492436068,0.01821267309105956,0.004436789288893017
ZC=F,KC=F,Corn,Coffee C,2256,0.15210037687896485,0.023134524646723165,0.12152860137296659,0.01696165524731486,0.00018169042012745494,0.00034176712189055525,0.016352270825133314,2.005739504024318,0.04055255972302076,0.049713042004100476,-18.426718446085292,0.01821267309105956,-0.1833224354609433
PL=F,ZS=F,Platinum,Soybeans,2256,0.15068719700209465,0.022706631340348116,0.19810022625837767,0.030650940947343747,2.4061091509745134e-05,0.00036430366919017426,0.01697747686657324,1.9740967773778086,0.15238478942952127,0.14955413508846654,1.8927289034036379,0.022526637817192996,0.0005375462997538882
ZS=F,PL=F,Soybeans,Platinum,2256,0.15068719700209465,0.022706631340348005,0.11462193541733935,0.016586140495456633,0.0001913185455145875,0.0002625847648335871,0.012914111455153556,1.9960985307006502,0.14900851604254117,0.15062530904857865,-1.0733873452276497,0.022526637817193107,-0.33117283085055615
CL=F,KC=F,WTI crude,Coffee C,2256,0.1492631922594137,0.022279500563470722,0.23012001516800137,0.04205518299341526,0.0005951756968810202,0.0006203578005392958,0.031566142306781654,2.0642495074523204,0.23350113890177698,0.22874664585901502,2.078497380762614,0.02780245864923747,-0.1261535305150676
KC=F,CL=F,Coffee C,WTI crude,2256,0.1492631922594137,0.022279500563470722,0.0968168742175917,0.015657783018401192,0.0002189306514557143,0.00043157206725031287,0.02047480817600922,1.9862791089727059,0.09541495458333772,0.12154258500635284,-21.496688112770904,0.02780245864923736,-0.016609675408205016
RB=F,ZC=F,RBOB gasoline,Corn,2256,0.14835031592142295,0.022007816233986066,0.267985690966612,0.0531277315743069,0.0005689801213129127,0.0006145622581896886,0.029556398461725964,2.054820349385417,1.004375727527588,0.8477266231517061,18.478728884730156,0.02778681951703954,0.005303098561507347
ZC=F,RB=F,Corn,RBOB gasoline,2256,0.14835031592142295,0.022007816233985955,0.08212310200072553,0.012172658170256827,0.00016458392198466466,0.0003385524815633688,0.016361698393227982,2.001945521073633,0.021911935574310742,0.03277804277720172,-33.15056752091598,0.02778681951703932,-0.040672522335515104
SI=F,ZS=F,Silver,Soybeans,2256,0.14596469763525857,0.021305692955752464,0.1995168957882317,0.03415732866121104,0.0003047917091815372,0.0003760405748919865,0.017664747439768032,2.047769301881155,0.36792243085434184,0.31930140146813785,15.227314744829187,0.019483691636036804,0.0014300599691398075
ZS=F,SI=F,Soybeans,Silver,2256,0.14596469763525857,0.021305692955752464,0.10678640959994906,0.017781574808199006,0.00016180706840301484,0.0002618630217653461,0.01292336425274834,2.0034220516723926,0.05790811097404183,0.06101974982399501,-5.099396275678561,0.019483691636036693,-1.1608670220658546
SI=F,KC=F,Silver,Coffee C,2256,0.1428115212930655,0.020395130614039636,0.1231500707829827,0.02041120745723804,0.00030957922378451326,0.00037489143033090635,0.017672963035864873,2.063037687329046,0.20800132198278223,0.20063282928848059,3.672625621855153,0.016211751938127517,0.005340587258318874
KC=F,SI=F,Coffee C,Silver,2256,0.1428115212930655,0.020395130614039636,0.16561200886340016,0.026879849983847817,0.0002258166694456262,0.0004261557371996344,0.020494529323946895,2.009515823254403,0.09805288937407783,0.08080308689071718,21.347949870640825,0.016211751938127628,-0.04801869690156768
HG=F,ZC=F,Copper,Corn,2256,0.14088746020033016,0.019849276441699648,0.11851588806414697,0.020659202914970955,0.00020975098314578473,0.00027926730337478377,0.013778798790405089,2.04430310404546,0.48795852827694225,0.40498815344915395,20.487111566389355,0.02325521716696488,-0.001312847816532292
ZC=F,HG=F,Corn,Copper,2256,0.14088746020033016,0.019849276441699537,0.16748198714889737,0.027453507638444816,0.00017664720896072865,0.000339179226104963,0.016379744504305144,1.9999879161097016,0.0406782037641406,0.057421968936393765,-29.159162394449083,0.02325521716696477,-0.24726764222347697
RB=F,SI=F,RBOB gasoline,Silver,2256,0.13865848444403395,0.019226175308316384,0.23208462385868145,0.0615362654131714,0.0005469496334459175,0.0006114164169246109,0.029598401307966562,2.066526954943594,0.17184595536424613,0.1517364218037671,13.252937772900474,0.016289731711848554,-0.5919029870385464
SI=F,RB=F,Silver,RBOB gasoline,2256,0.13865848444403395,0.019226175308316273,0.08284122829276017,0.021292665449520253,0.00029248118645897096,0.0003771432210126361,0.017683504400653288,2.0505626770518863,0.1118802899234052,0.10735544912819353,4.214821727221814,0.01628973171184822,-0.0051347154686069985
