target_name,hedge_name,h_full,h_median,h_iqr,h_cv,sign_flips_%,r2_median,r2_iqr,r2_p05,windows_r2_above_25%
Silver,SRW wheat,0.21406012748776923,0.18059577374836494,0.695316333278909,2.873286868020739,34.15910676901605,0.009410868243786431,0.027111449889669313,8.814508548956237e-05,0.034891835310537335
SRW wheat,Silver,0.03267711506276395,0.010701652779769227,0.051110731814288754,2.6877201237876696,34.15910676901605,0.009410868243786431,0.027111449889669313,8.814508548956237e-05,0.034891835310537335
Brent crude,Gold,0.1319013768905919,0.050871816549991414,0.2028787598036899,2.5000595986713425,35.65945568736916,0.01589315336379198,0.05235344018735927,9.095532886714891e-05,2.1981856245638522
Gold,Brent crude,0.10596519994838494,0.07231720340708798,0.2586412231494709,3.704898865622203,35.65945568736916,0.01589315336379198,0.05235344018735927,9.095532886714891e-05,2.1981856245638522
Platinum,SRW wheat,0.0859245282262412,0.07838978431208293,0.37029919925828747,3.1267745373603875,37.1946964410328,0.012139713681051073,0.03173789844296273,0.00014360860873693845,0.0
SRW wheat,Platinum,0.06912816223575992,0.026174639493843833,0.13087143151842973,3.4132172598916184,37.1946964410328,0.012139713681051073,0.03173789844296273,0.00014360860873693845,0.0
Gold,SRW wheat,0.16787380920822703,0.15141338235733182,0.4860415374068449,3.1811416442679743,31.71667829727844,0.00921573200210149,0.02420739323997828,8.065432325623235e-05,0.06978367062107467
SRW wheat,Gold,0.04134513205156631,0.0140634414708329,0.05426855162480959,2.501180085917378,31.71667829727844,0.00921573200210149,0.02420739323997828,8.065432325623235e-05,0.06978367062107467
Platinum,Corn,0.11938673261918059,0.10082666493201227,0.46051300653259863,3.5896668559359695,37.61339846475924,0.009159550602051751,0.02205759712040396,0.00012114841667449361,0.0
Corn,Platinum,0.034385784293038665,0.01305683949023341,0.0669482746604112,3.687324079472097,37.61339846475924,0.009159550602051751,0.02205759712040396,0.00012114841667449361,0.0
Gold,Corn,0.27361203246095067,0.15829843038810082,0.9646157794922179,4.567005645275543,38.45080251221214,0.009796335782091471,0.024355554575329112,7.595467606359578e-05,1.0118632240055827
Corn,Gold,0.02412468454755936,0.005998047006629939,0.03110715018103954,3.2734282471102154,38.45080251221214,0.009796335782091471,0.024355554575329112,7.595467606359578e-05,1.0118632240055827
RBOB gasoline,Gold,0.1421921421664146,0.038919988463470986,0.2844913241297291,2.969697136293474,39.56734124214934,0.015621787040575067,0.046678643031890905,7.356929741711687e-05,0.8722958827634334
Gold,RBOB gasoline,0.06235572615113041,0.0296956340933553,0.19450755103231124,7.173363310614559,39.56734124214934,0.015621787040575067,0.046678643031890905,7.356929741711687e-05,0.8722958827634334
Henry Hub gas,Platinum,0.12003129087793474,0.022056122544720048,0.25232132220249015,6.9144778276381125,44.97557571528262,0.01328166299914494,0.033614673831010806,0.00018301804504957961,0.034891835310537335
Platinum,Henry Hub gas,0.029783106596721256,0.01733168282095457,0.20825489411093498,5.97456274653396,44.97557571528262,0.01328166299914494,0.033614673831010806,0.00018301804504957961,0.034891835310537335
Henry Hub gas,Coffee C,0.07505292214641322,0.03766062347367473,0.12203137668761989,3.4919905148228176,34.473133286810885,0.00784229712804475,0.022411216929358876,6.882729312779375e-05,0.0
Coffee C,Henry Hub gas,0.0395274690484859,0.05586772868977531,0.19638743110789758,2.9440792382372134,34.473133286810885,0.00784229712804475,0.022411216929358876,6.882729312779375e-05,0.0
Henry Hub gas,Copper,0.0706314247380763,0.03040732833477527,0.18712910274398173,4.730900208364089,40.71877180739707,0.011667678362585965,0.03022218413123971,0.00011103470143636008,0.0
Copper,Henry Hub gas,0.03560086853947816,0.0366539293369226,0.2198517519308429,4.696167564607087,40.71877180739707,0.011667678362585965,0.03022218413123971,0.00011103470143636008,0.0
